manufacturer,releaseyear,memsize,gpuclock,memclock,unifiedshader,tmu,rop,g3dmark,g2dmark,tdp,powerperformance,performance_per_watt,performance_per_gb,performance_per_shader,gpu_age,performance_category
0,2019.0,1.024,450,250.0,384.0,4,4,1465,338,65.0,19.155,19.155714285714286,1430.6640625,3.8151041666666665,7.0,1
0,2019.0,1.024,300,250.0,384.0,4,4,2137,535,65.0,19.155,19.155714285714286,2086.9140625,5.565104166666667,7.0,1
2,2018.0,32.0,930,1215.0,3584.0,224,96,16988,1086,250.0,67.95,67.952,530.875,4.739955357142857,8.0,0
2,2018.0,32.0,1328,715.0,3584.0,224,96,17675,841,250.0,70.7,70.7,552.34375,4.931640625,8.0,0
0,2018.0,8.0,988,1653.0,3072.0,192,96,14110,824,230.0,61.35,61.34782608695652,1763.75,4.593098958333333,8.0,0
0,2018.0,4.0,745,1502.0,2880.0,240,48,3315,506,65.0,19.155,19.155714285714286,828.75,1.1510416666666667,8.0,0
0,2018.0,4.0,745,1502.0,2880.0,240,48,6734,833,65.0,19.155,19.155714285714286,1683.5,2.3381944444444445,8.0,0
0,2018.0,4.0,745,1502.0,2880.0,240,48,6049,777,65.0,93.06,93.06153846153846,1512.25,2.100347222222222,8.0,0
0,2018.0,4.0,902,1502.0,2880.0,240,48,5117,544,65.0,19.155,19.155714285714286,1279.25,1.776736111111111,8.0,0
0,2018.0,4.0,797,1502.0,2880.0,240,48,4683,672,65.0,19.155,19.155714285714286,1170.75,1.6260416666666666,8.0,0
2,2018.0,24.0,947,1250.0,2560.0,160,64,20169,844,280.0,72.03,72.03214285714286,840.375,7.878515625,8.0,0
2,2018.0,48.0,1607,1127.0,2560.0,160,64,19126,801,260.0,73.56,73.56153846153846,398.4583333333333,7.47109375,8.0,0
2,2018.0,24.0,575,1300.0,2496.0,208,40,19692,837,295.0,66.75,66.75254237288135,820.5,7.889423076923077,8.0,0
2,2018.0,11.0,850,1500.0,2048.0,128,32,21796,940,250.0,87.18,87.184,1981.4545454545453,10.642578125,8.0,0
2,2018.0,16.0,825,1250.0,1792.0,112,32,11113,567,65.0,19.155,19.155714285714286,694.5625,6.201450892857143,8.0,0
0,2018.0,8.0,825,1250.0,1792.0,112,32,9665,810,175.0,55.23,55.22857142857143,1208.125,5.393415178571429,8.0,0
0,2018.0,8.0,713,1250.0,1792.0,112,32,7798,885,185.0,42.15,42.15135135135135,974.75,4.3515625,8.0,0
0,2018.0,4.0,920,1250.0,1792.0,112,32,7768,669,65.0,19.155,19.155714285714286,1942.0,4.334821428571429,8.0,0
0,2018.0,8.0,1050,1753.0,1664.0,104,56,1923,750,120.0,16.03,16.025,240.375,1.1556490384615383,8.0,1
2,2018.0,16.0,773,1502.0,1664.0,104,64,16260,763,230.0,70.7,70.69565217391305,1016.25,9.771634615384617,8.0,0
2,2018.0,8.0,1050,1500.0,1664.0,104,64,15515,904,160.0,96.97,96.96875,1939.375,9.32391826923077,8.0,0
2,2018.0,8.0,850,1150.0,1600.0,80,32,18732,917,250.0,74.93,74.928,2341.5,11.7075,8.0,0
2,2018.0,8.0,850,1150.0,1600.0,80,32,16079,833,175.0,91.88,91.88,2009.875,10.049375,8.0,0
0,2018.0,4.0,1500,900.0,384.0,24,16,3181,487,75.0,42.42,42.41333333333333,795.25,8.283854166666666,8.0,0
0,2018.0,4.0,200,900.0,384.0,32,8,2370,508,50.0,47.4,47.4,592.5,6.171875,8.0,0
0,2018.0,4.0,854,900.0,384.0,24,16,3678,711,65.0,19.155,19.155714285714286,919.5,9.578125,8.0,0
2,2018.0,2.0,300,900.0,384.0,24,8,3640,575,40.0,91.0,91.0,1820.0,9.479166666666666,8.0,0
0,2018.0,1.024,250,250.0,384.0,4,2,1593,421,65.0,19.155,19.155714285714286,1555.6640625,4.1484375,8.0,1
0,2018.0,1.024,250,250.0,384.0,4,4,1029,310,65.0,19.155,19.155714285714286,1004.8828125,2.6796875,8.0,1
0,2018.0,1.024,250,250.0,384.0,8,4,2137,535,65.0,19.155,19.155714285714286,2086.9140625,5.565104166666667,8.0,1
2,2017.0,12.0,1530,2000.0,3072.0,96,48,18816,845,250.0,75.26,75.264,1568.0,6.125,9.0,0
0,2017.0,16.0,600,1500.0,3072.0,192,64,13748,753,350.0,39.28,39.28,859.25,4.475260416666667,9.0,0
0,2017.0,8.0,1380,1750.0,2944.0,184,64,14636,810,295.0,49.62,49.6135593220339,1829.5,4.971467391304348,9.0,0
0,2017.0,8.0,1515,1750.0,2944.0,184,64,13636,784,210.0,64.93,64.93333333333334,1704.5,4.631793478260869,9.0,0
0,2017.0,16.0,735,1500.0,2944.0,184,64,13241,772,230.0,57.57,57.56956521739131,827.5625,4.497622282608695,9.0,0
